,A,IndicesInteractionProtein,KnownProteins,MaxNumInteractionProtein,N,NumInteractionProtein,ProteinLabel,ProteinLabelPairs
148,0,,1,,,26,['YGR245C'],
149,0,,1,,,10,['YKL144C'],
150,0,,1,,,15,['YBR055C'],
151,0,,1,,,17,['YPR178W'],
152,0,,1,,,27,['YER112W'],
153,0,,1,,,12,['YGR156W'],
154,0,,1,,,39,['YKR081C'],
155,0,,-1,,,32,['YFR001W'],
156,0,,1,,,33,['YOR206W'],
157,0,,1,,,12,['YPR103W'],
158,0,,1,,,12,['YOR362C'],
159,0,,1,,,11,['YJL176C'],
160,0,,1,,,11,['YBR289W'],
161,0,,1,,,8,['YFL013C'],
162,0,,1,,,11,['YGL070C'],
163,0,,1,,,16,['YLR357W'],
164,0,,1,,,14,['YOR039W'],
165,0,,1,,,17,['YGL019W'],
166,0,,1,,,19,['YML025C'],
167,0,,-1,,,16,['YNL147W'],
168,0,,1,,,44,['YGR090W'],
169,0,,1,,,52,['YCR057C'],
170,0,,1,,,34,['YJL109C'],
171,0,,1,,,13,['YOR061W'],
172,0,,1,,,18,['YIL035C'],
173,0,,-1,,,6,['YML067C'],
174,0,,1,,,6,['YNL287W'],
175,0,,1,,,7,['YOR141C'],
176,1,,1,,,18,['YOR261C'],
177,1,,1,,,23,['YIL075C'],
178,0,,1,,,10,['YPL016W'],
179,0,,1,,,20,['YPR034W'],
180,0,,1,,,18,['YMR093W'],
181,0,,1,,,23,['YDR324C'],
182,0,,1,,,11,['YIL084C'],
183,0,,1,,,40,['YPR016C'],
184,0,,1,,,33,['YGR103W'],
185,0,,1,,,20,['YGR091W'],
186,0,,1,,,17,['YDR473C'],
187,0,,1,,,5,['YGL145W'],
188,0,,1,,,6,['YLR440C'],
189,0,,1,,,8,['YJL183W'],
190,0,,1,,,8,['YEL036C'],
191,0,,1,,,34,['YNL061W'],
192,0,,1,,,36,['YDR496C'],
193,0,,1,,,23,['YMR290C'],
194,0,,1,,,27,['YMR049C'],
195,0,,1,,,18,['YPR110C'],
196,0,,1,,,17,['YOR151C'],
197,0,,1,,,34,['YDR101C'],
198,0,,1,,,5,['YHR118C'],
199,0,,1,,,6,['YML065W'],
200,0,,1,,,30,['YKL173W'],
201,0,,1,,,18,['YDR429C'],
202,0,,1,,,18,['YMR309C'],
203,0,,1,,,7,['YPL210C'],
204,0,,1,,,7,['YPR088C'],
205,1,,-1,,,16,['YFR010W'],
206,0,,1,,,18,['YLR117C'],
207,0,,1,,,14,['YGL011C'],
208,0,,1,,,5,['YOR075W'],
209,0,,1,,,13,['YGR252W'],
210,0,,1,,,9,['YAR007C'],
211,0,,1,,,7,['YJL173C'],
212,0,,1,,,14,['YBL038W'],
213,0,,1,,,5,['YPL243W'],
214,0,,1,,,5,['YDL092W'],
215,0,,1,,,6,['YGR083C'],
216,0,,1,,,6,['YGL098W'],
217,0,,1,,,6,['YKR026C'],
218,0,,1,,,11,['YHL025W'],
219,0,,1,,,36,['YHR196W'],
220,0,,1,,,6,['YBR060C'],
221,0,,1,,,5,['YJR076C'],
222,0,,1,,,5,['YCR002C'],
223,0,,1,,,5,['YDL225W'],
224,0,,1,,,10,['YKR068C'],
225,0,,1,,,10,['YBR254C'],
226,0,,1,,,32,['YPR144C'],
227,0,,1,,,7,['YDR472W'],
228,0,,1,,,15,['YDL209C'],
229,0,,1,,,11,['YGR278W'],
230,0,,1,,,27,['YMR125W'],
231,1,,1,,,16,['YER021W'],
232,0,,1,,,9,['YML127W'],
233,0,,1,,,37,['YNL110C'],
234,0,,1,,,38,['YER006W'],
235,0,,1,,,8,['YGR231C'],
